defensive_team,dci,dis,n,dci_z,dis_z,elite,rank
NO,0.31520448053099404,0.4525315417278396,422,1.4566010167400405,1.9363821381941804,1.6964915774671105,1
TB,0.31519696057474,0.4503700171969072,460,1.454688152900644,1.764032344904628,1.609360248902636,2
SEA,0.3116363086865553,0.45552197265401784,429,0.5489591816800463,2.1748250263492293,1.361892104014638,3
CHI,0.31341268693460145,0.44675808567870184,460,1.0008194852498378,1.476033924516499,1.2384267048831683,4
BAL,0.3177297010994642,0.43038829453987476,450,2.098945592792265,0.17078382043694607,1.1348647066146056,5
PHI,0.31519920532844237,0.4375358647385577,493,1.455259154651259,0.7406974293906211,1.09797829202094,6
LA,0.3113797610638925,0.4439198092238095,454,0.4837007341708921,1.2497231178155048,0.8667119259931985,7
NYJ,0.3117254130094001,0.44229086289064934,376,0.5716247971897627,1.119838603537598,0.8457317003636804,8
DAL,0.31584089405587834,0.4256612808022727,378,1.6184865886144097,-0.20612600820199276,0.7061802902062085,9
SF,0.3091520773021246,0.4420815348621621,445,-0.08295890712853406,1.103147771708861,0.5100944322901634,10
CIN,0.3106676793150116,0.43541298980022175,426,0.3025673097047197,0.5714293727176986,0.4369983412112091,11
TEN,0.31395588792649265,0.42289790445199066,408,1.138994429333589,-0.4264646330645626,0.3562648981345132,12
GB,0.3118818220984826,0.42867164303133976,402,0.6114108385644659,0.033906108242495715,0.3226584734034808,13
JAX,0.3111753800796537,0.42756375847384936,455,0.4317120016565095,-0.054431392322344986,0.18864030466708226,14
BUF,0.3083457554972034,0.4311955086652278,401,-0.28806433213999827,0.23514727579176267,-0.0264585281741178,15
NE,0.3108036778956668,0.42311778475011236,419,0.33716149594152955,-0.4089324129174364,-0.03588545848795344,16
ATL,0.3070348337104739,0.4270519010203271,407,-0.621525697791917,-0.09524449670577213,-0.3583850972488446,17
NYG,0.30679777673355474,0.42722822391888887,429,-0.6818262771712529,-0.0811853386048783,-0.3815058078880656,18
HOU,0.30698495287089395,0.4265023212045977,420,-0.6342139703147928,-0.1390654047184209,-0.3866396875166068,19
MIA,0.3062283774060291,0.42801786425,399,-0.8266653356719773,-0.01822313489517049,-0.4224442352835739,20
LAC,0.3065299184958816,0.42654904777142855,459,-0.7499618247224392,-0.13533964818909072,-0.44265073645576497,21
PIT,0.30801957351120646,0.42062095656830356,426,-0.3710357890206957,-0.6080177412845645,-0.48952676515263016,22
CAR,0.30907205081983524,0.4138854511256338,345,-0.10331537716561799,-1.1450752458987028,-0.6241953115321603,23
DEN,0.30712352424780776,0.4177968424895787,433,-0.5989653375941275,-0.8331993067625134,-0.7160823221783205,24
WAS,0.3061067357210749,0.4204507754119565,439,-0.8576075343566361,-0.6215871857662041,-0.7395973600614201,25
DET,0.30497655766080484,0.4211019123955696,442,-1.1450928162571783,-0.5696685871461419,-0.8573807017016601,26
ARI,0.3041348990080516,0.4234902685608808,371,-1.3591869343052552,-0.3792323068714726,-0.8692096205883639,27
MIN,0.3077180671794379,0.41185425049477276,423,-0.447730458498329,-1.3070336247413903,-0.8773820416198597,28
IND,0.3084278961016855,0.4091514948604651,411,-0.2671700893077048,-1.5225386390121127,-0.8948543641599087,29
CLE,0.30602938645503525,0.4083323103953608,376,-0.8772829964222263,-1.587856552922551,-1.2325697746723887,30
KC,0.3036077817803671,0.4111501802503817,383,-1.4932706244091727,-1.363172872455494,-1.4282217484323332,31
LV,0.3012026953581642,0.4147824547166993,381,-2.10505647691189,-1.0735524011251412,-1.5893044390185156,32
