Play,Qtr,Down,Dist,Formation,Result,Yards,EPA,DCI,DIS,DCI Rating,DIS Rating,Coverage
91,1,2,8,SHOTGUN,Incomplete,0,-0.98,0.303,0.496,Moderate,Mixed,COVER_4_ZONE
114,1,3,8,SHOTGUN,Incomplete,0,-1.71,0.360,0.633,Moderate,Disciplined,COVER_1_MAN
157,1,1,10,SHOTGUN,Complete,3,-0.45,0.307,0.398,Moderate,Mixed,COVER_3_ZONE
186,1,2,7,SHOTGUN,Incomplete,0,-1.73,0.325,0.177,Moderate,Chaotic,COVER_1_MAN
209,1,3,7,EMPTY,Complete,58,6.13,0.362,0.646,Moderate,Disciplined,COVER_1_MAN
241,1,1,10,EMPTY,Complete,13,0.75,0.295,0.336,Loose,Mixed,COVER_6_ZONE
274,1,1,10,SHOTGUN,Interception,0,-5.54,0.329,0.392,Moderate,Mixed,COVER_6_ZONE
330,1,2,5,SHOTGUN,Incomplete,0,-1.02,0.302,0.587,Moderate,Mixed,COVER_3_ZONE
353,1,3,5,SHOTGUN,Complete,7,1.91,0.352,0.044,Moderate,Chaotic,COVER_1_MAN
485,1,2,5,SINGLEBACK,Complete,18,1.58,0.310,0.343,Moderate,Mixed,COVER_3_ZONE
515,1,1,10,PISTOL,Incomplete,0,-0.59,0.312,0.513,Moderate,Mixed,COVER_3_ZONE
685,1,3,9,EMPTY,Incomplete,0,-1.10,0.362,0.752,Moderate,Disciplined,COVER_4_ZONE
751,1,1,10,SHOTGUN,Complete,13,0.75,0.311,0.422,Moderate,Mixed,COVER_3_ZONE
781,1,1,10,SHOTGUN,Complete,-2,-0.95,0.241,0.440,Loose,Mixed,COVER_0_MAN
972,1,3,8,SHOTGUN,Complete,2,-1.17,0.376,0.765,Moderate,Disciplined,COVER_0_MAN
1040,1,1,10,EMPTY,Complete,20,1.22,0.302,0.577,Moderate,Mixed,COVER_3_ZONE
1113,2,2,7,SHOTGUN,Complete,15,1.43,0.279,0.430,Loose,Mixed,COVER_6_ZONE
1192,2,2,8,SHOTGUN,Complete,14,1.31,0.352,0.506,Moderate,Mixed,COVER_1_MAN
1267,2,1,10,SHOTGUN,Incomplete,0,-0.43,0.291,0.904,Loose,Disciplined,COVER_4_ZONE
