Play,Qtr,Down,Dist,Formation,Result,Yards,EPA,DCI,DIS,DCI Rating,DIS Rating,Coverage
101,1,1,10,SINGLEBACK,Complete,6,0.19,0.254,0.478,Loose,Mixed,COVER_6_ZONE
148,1,1,10,SINGLEBACK,Complete,2,-0.39,0.302,0.479,Moderate,Mixed,COVER_3_ZONE
195,1,3,6,SHOTGUN,Complete,12,1.96,0.366,0.694,Moderate,Disciplined,COVER_1_MAN
376,1,2,12,PISTOL,Complete,0,-0.98,0.272,0.207,Loose,Chaotic,COVER_3_ZONE
492,1,1,10,SHOTGUN,Complete,5,-0.03,0.289,0.798,Loose,Disciplined,COVER_3_ZONE
537,1,3,11,SHOTGUN,Incomplete,0,-1.52,0.329,0.582,Moderate,Mixed,COVER_3_ZONE
578,1,1,10,SHOTGUN,Complete,12,0.87,0.267,0.305,Loose,Mixed,COVER_4_ZONE
709,1,1,24,EMPTY,Complete,4,0.59,0.266,0.560,Loose,Mixed,COVER_6_ZONE
779,1,2,18,EMPTY,Complete,10,0.21,0.298,0.531,Loose,Mixed,COVER_3_ZONE
809,1,3,8,SHOTGUN,Incomplete,0,-1.59,0.330,0.054,Moderate,Chaotic,COVER_1_MAN
976,1,2,6,SHOTGUN,Complete,6,1.80,0.333,0.305,Moderate,Mixed,COVER_4_ZONE
1113,2,3,4,SHOTGUN,Complete,22,2.59,0.353,0.433,Moderate,Mixed,COVER_3_ZONE
1236,2,1,10,SHOTGUN,Complete,16,0.97,0.327,0.179,Moderate,Chaotic,COVER_3_ZONE
1439,2,2,7,SHOTGUN,Complete,11,0.89,0.325,0.440,Moderate,Mixed,COVER_3_ZONE
1527,2,3,4,SHOTGUN,Complete,22,2.23,0.376,0.049,Moderate,Chaotic,COVER_3_ZONE
1584,2,2,9,SHOTGUN,Complete,7,0.25,0.305,0.425,Moderate,Mixed,COVER_2_ZONE
1609,2,3,2,SHOTGUN,Complete,8,1.16,0.331,0.652,Moderate,Disciplined,COVER_4_ZONE
1668,2,2,18,SHOTGUN,Complete,3,-0.74,0.359,0.661,Moderate,Disciplined,COVER_4_ZONE
1693,2,3,15,SHOTGUN,Complete,8,-0.50,0.339,0.430,Moderate,Mixed,COVER_6_ZONE
1769,2,1,10,SHOTGUN,Incomplete,0,-0.56,0.258,0.791,Loose,Disciplined,COVER_1_MAN
1818,2,1,10,EMPTY,Complete,12,0.69,0.294,0.174,Loose,Chaotic,COVER_3_ZONE
1848,2,1,10,SHOTGUN,Incomplete,0,-0.44,0.314,0.493,Moderate,Mixed,COVER_1_MAN
1878,2,2,10,SHOTGUN,Incomplete,0,-0.52,0.313,0.348,Moderate,Mixed,COVER_3_ZONE
1901,2,3,10,SHOTGUN,Complete,51,4.99,0.329,0.574,Moderate,Mixed,COVER_6_ZONE
2029,2,1,10,SHOTGUN,Complete,-1,-0.60,0.245,0.616,Loose,Disciplined,COVER_3_ZONE
2054,2,2,11,SHOTGUN,Incomplete,0,-0.42,0.305,0.714,Moderate,Disciplined,COVER_6_ZONE
2436,3,2,10,SHOTGUN,Complete,9,0.95,0.300,0.375,Loose,Mixed,COVER_1_MAN
2461,3,3,1,SINGLEBACK,Complete,23,0.86,0.297,0.333,Loose,Mixed,COVER_0_MAN
2568,3,2,10,PISTOL,Complete,8,0.42,0.315,0.338,Moderate,Mixed,COVER_4_ZONE
2615,3,4,1,SINGLEBACK,Incomplete,0,-4.73,0.305,0.684,Moderate,Disciplined,COVER_0_MAN
2649,3,1,10,SHOTGUN,Complete,3,-0.44,0.300,0.430,Loose,Mixed,COVER_3_ZONE
2946,3,2,9,SHOTGUN,Complete,7,0.35,0.310,0.595,Moderate,Mixed,COVER_3_ZONE
3020,3,2,9,SHOTGUN,Complete,6,0.20,0.319,0.882,Moderate,Disciplined,COVER_4_ZONE
3123,3,2,5,SHOTGUN,Interception,0,-12.38,0.325,0.649,Moderate,Disciplined,COVER_3_ZONE
3211,3,2,10,SHOTGUN,Complete,12,1.31,0.307,0.667,Moderate,Disciplined,COVER_3_ZONE
3236,3,1,10,SHOTGUN,Complete,3,-0.36,0.285,0.272,Loose,Chaotic,COVER_6_ZONE
3331,4,4,5,SHOTGUN,Complete,6,3.50,0.366,0.485,Moderate,Mixed,COVER_6_ZONE
3423,4,2,28,SHOTGUN,Complete,6,-0.60,0.249,0.445,Loose,Mixed,COVER_6_ZONE
3499,4,1,10,SINGLEBACK,Complete,3,-0.40,0.259,0.687,Loose,Disciplined,COVER_6_ZONE
3536,4,2,7,SINGLEBACK,Incomplete,0,-0.79,0.303,0.155,Moderate,Chaotic,COVER_1_MAN
3568,4,3,7,EMPTY,Incomplete,0,-1.60,0.332,0.252,Moderate,Chaotic,COVER_1_MAN
3685,4,1,10,SHOTGUN,Complete,11,0.70,0.283,0.418,Loose,Mixed,COVER_4_ZONE
3950,4,1,10,SHOTGUN,Complete,8,0.45,0.278,0.520,Loose,Mixed,COVER_4_ZONE
4017,4,2,16,SHOTGUN,Complete,8,0.03,0.306,0.354,Moderate,Mixed,COVER_6_ZONE
