Play,Qtr,Down,Dist,Formation,Result,Yards,EPA,DCI,DIS,DCI Rating,DIS Rating,Coverage
55,1,1,10,SHOTGUN,Complete,2,-0.53,0.243,0.586,Loose,Mixed,COVER_3_ZONE
80,1,2,8,SHOTGUN,Complete,11,1.35,0.314,0.776,Moderate,Disciplined,COVER_3_ZONE
110,1,1,10,SHOTGUN,Complete,46,2.85,0.304,0.191,Moderate,Chaotic,COVER_2_ZONE
291,1,2,6,EMPTY,Incomplete,0,-0.96,0.309,0.509,Moderate,Mixed,COVER_3_ZONE
389,1,1,10,SHOTGUN,Complete,3,-0.44,0.298,0.932,Loose,Disciplined,COVER_3_ZONE
421,1,2,7,SHOTGUN,Incomplete,0,-0.90,0.263,0.693,Loose,Disciplined,COVER_1_MAN
478,1,3,7,SHOTGUN,Complete,16,2.57,0.337,0.217,Moderate,Chaotic,COVER_1_MAN
537,1,2,11,SHOTGUN,Complete,20,2.00,0.302,0.592,Moderate,Mixed,COVER_1_MAN
584,1,2,2,SHOTGUN,Incomplete,0,-0.60,0.309,0.555,Moderate,Mixed,COVER_1_MAN
661,1,2,7,SHOTGUN,Complete,4,-0.05,0.308,0.061,Moderate,Chaotic,COVER_4_ZONE
686,1,3,3,SHOTGUN,Complete,12,2.39,0.331,0.663,Moderate,Disciplined,COVER_1_MAN
754,1,1,10,SHOTGUN,Complete,2,-0.57,0.259,0.487,Loose,Mixed,COVER_3_ZONE
801,1,3,4,SHOTGUN,Incomplete,0,-1.70,0.331,0.493,Moderate,Mixed,COVER_1_MAN
857,1,1,10,PISTOL,Complete,20,1.28,0.319,0.203,Moderate,Chaotic,COVER_3_ZONE
922,1,1,20,SHOTGUN,Incomplete,0,-0.70,0.311,0.424,Moderate,Mixed,COVER_3_ZONE
967,1,3,11,SHOTGUN,Complete,22,3.23,0.354,0.764,Moderate,Disciplined,COVER_4_ZONE
1017,2,1,10,SHOTGUN,Complete,28,1.70,0.280,0.674,Loose,Disciplined,COVER_1_MAN
1092,2,1,10,SINGLEBACK,Complete,11,1.89,0.301,0.724,Moderate,Disciplined,COVER_3_ZONE
1198,2,3,16,SHOTGUN,Complete,13,0.15,0.186,0.031,Loose,Chaotic,COVER_3_ZONE
1316,2,1,10,SHOTGUN,Complete,22,1.73,0.319,0.892,Moderate,Disciplined,COVER_3_ZONE
1478,2,1,10,I_FORM,Complete,14,0.83,0.232,0.021,Loose,Chaotic,COVER_3_ZONE
1523,2,2,12,SHOTGUN,Incomplete,0,-0.92,0.324,0.179,Moderate,Chaotic,COVER_2_ZONE
1546,2,3,12,SHOTGUN,Complete,4,-1.23,0.333,0.745,Moderate,Disciplined,COVER_6_ZONE
1576,2,4,8,SHOTGUN,Incomplete,0,-2.41,0.373,0.611,Moderate,Disciplined,COVER_1_MAN
1639,2,1,20,SHOTGUN,Complete,22,1.44,0.288,0.263,Loose,Chaotic,COVER_4_ZONE
1686,2,2,5,SHOTGUN,Complete,4,0.06,0.327,0.125,Moderate,Chaotic,COVER_1_MAN
1785,2,1,10,SHOTGUN,Complete,3,-0.37,0.314,0.738,Moderate,Disciplined,COVER_4_ZONE
1810,2,2,7,SHOTGUN,Complete,6,0.28,0.306,0.736,Moderate,Disciplined,COVER_4_ZONE
1874,2,1,10,SHOTGUN,Complete,7,0.22,0.295,0.021,Loose,Chaotic,COVER_4_ZONE
1904,2,2,3,SHOTGUN,Incomplete,0,-0.41,0.333,0.070,Moderate,Chaotic,COVER_4_ZONE
1927,2,3,3,SHOTGUN,Complete,22,1.82,0.356,0.245,Moderate,Chaotic,COVER_1_MAN
